213895,50,0.2
588117,100,0.49
91459,100,0.59
504100,50,0.59
218628,100,0.3
520715,10,0.05
423613,50,0.3
367830,50,0.3
234280,100,0.39
437546,100,0.59
578401,75,0.1
452368,50,0.3
383161,50,0.2
648026,50,0.2
226870,100,0.49
250304,50,0.15
362803,50,0.2
422389,100,0.49
520464,100,0.2
348482,50,0.2
424815,100,0.39
668207,100,0.3
197484,50,0.2
584110,50,0.2
102906,100,0.2
361009,30,0.05
196015,50,0.2
178796,100,0.59
256538,100,0.3
536514,100,0.49
681082,100,0.39
364120,100,0.3
160755,100,0.39
395349,5,0.03
686090,100,0.3
529220,50,0.2
173518,400,1.72
584210,100,0.49
500316,100,0.39
455523,50,0.39
134731,50,0.39
113036,100,0.35
442559,100,0.49
597896,100,0.49
304613,100,0.59
537680,50,0.2
165880,100,0.59
317093,50,0.2
472367,100,0.1
633597,100,0.1
287597,100,0.49
668295,75,0.1
393037,100,0.39
115553,50,0.2
213347,50,0.2
196697,5,0.03
531678,5,0.03
95962,50,0.2
153262,10,0.05
206427,10,0.05
359499,50,0.39
516334,50,0.49
499414,100,0.3
275438,50,0.2
336436,100,0.49
145929,100,0.39
439763,100,0.59
190968,100,0.3
625302,400,1.72
282963,400,1.72
605714,100,0.39
553632,100,0.3
113196,50,0.39
505284,100,0.49
620720,100,0.3
376549,50,0.39
601561,50,0.3
618710,50,0.2
269268,50,0.2
334718,100,0.49
375021,50,0.2
499813,100,0.39
110420,50,0.59
530957,50,0.39
550530,100,0.49
366359,100,0.59
240817,100,0.39
248103,100,0.39
383886,100,0.49
622862,400,1.72
295436,100,0.3
475392,50,0.39
450909,50,0.2
100241,50,0.2
187781,50,0.2
289938,30,0.05
417579,100,0.2
158929,100,0.25
106507,50,0.2
575382,50,0.2
347548,100,0.39
592288,100,0.39
505309,100,0.39
315961,100,0.39
398509,100,0.3
652661,100,0.3
361361,50,0.2
563543,50,0.3
254927,100,0.3
91988,50,0.3
536427,100,0.39
